# Hid              Name                RA(HHMMSS)    R.A.(deg)            eR(SS)   Dec(DDMMSS)   Dec.(deg)       eD(SS)   Vel_HI   eV   W50   eW50   W20   eW20   PkFlux   ePkF   TotFlux   eTotF   MHI                  eMHI                   SNpeak   SNtot   rms   flag   specObjID             plateID               fiberID   mjd     ra          dec         z             zErr          Vel_SDSS   NOC_Spz   2nd_OC_specObjID      A_W20     A_W20_err   W20_center   aa_snr               V_NED   V_NED_e   RA_NED   RA_NED_e   DEC_NED   DEC_NED_e   potOC                        A_W50     A_W50_err  
  J114453+204048   A1367_fr2_162_VB    11:44:53.04   176.2209861111111    1.0      20:40:48.76   20.6802111111   14       6136     11   130   22     204   33     3.3      0.6    0.266     0.071   8.732889592038898    0.15407422418267236    5.5      1.9     0.6   0      2824972271716689920   2824882936396933120   325       54180   176.22245   20.686927   0.02045281    6.346288E-6   6131       1         -1                    1.04645   0.16308     6136.0       8.694481991126159    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.85118   0.09875    
  J114052+191058   A1367_fr3_064_VB    11:40:52.73   175.2196944441111    0.7      19:10:58.46   19.1829055556   10       3491     2    142   3      156   5      14.6     1.0    1.467     0.128   8.92                 0.07504109238260828    20.8     10.7    0.7   0      2821555264438691840   2821505236659628032   182       54179   175.22046   19.18159    0.01160478    2.06132E-5    3479       1         -1                    1.03536   0.03355     3491.0       39.325377819102      -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.09255   0.03443    
  J114829+194538   A1367_fr3_024_VB    11:48:29.28   177.1219861111111    1.0      19:45:38.58   19.7607166667   11       5586     4    117   8      144   12     6.6      0.8    0.431     0.079   8.942485225568563    0.11684749421345922    9.4      3.7     0.7   0      2824915097112045568   2824882936396933120   117       54180   177.11844   19.76       0.01865195    6.222484E-6   5591       1         -1                    1.23318   0.08069     5586.0       12.728326335225914   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.49412   0.0714     
  J115318+180526   A1367_fr3_090_VB    11:53:18.76   178.3281527781111    0.9      18:05:26.92   18.0908111111   13       3804     10   82    21     123   31     4.2      1.0    0.275     0.104   8.27                 0.20308877405143988    4.2      1.4     1.0   0      2828374980243253248   2828260631033964544   416       53877   178.32501   18.097917   0.01268319    1.080457E-5   3802       1         -1                    1.37754   0.26288     3804.0       6.7906409769659275   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.21826   0.23309    
  J113436+181914   A1367_fr3_060_VB    11:34:36.05   173.6501944441111    0.7      18:19:14.92   18.3208111111   11       3502     6    149   11     178   17     5.5      0.8    0.569     0.109   8.51                 0.12130204660821273    6.9      3.0     0.8   0      2817025276549031936   2817001637049034752   86        54180   173.6527    18.329547   0.01161515    8.606458E-6   3482       1         -1                    1.10994   0.08444     3502.0       13.029091899985012   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.03855   0.09332    
  J114148+194539   A1367_fr2_047_VB    11:41:48.88   175.4536527781111    0.7      19:45:39.22   19.7608944444   11       7809     6    134   11     199   17     7.8      0.8    0.767     0.1     9.19280331935681     0.09392707299166371    11.2     4.8     0.7   0      2821624258793334784   2821505236659628032   433       54179   175.45761   19.767893   0.02609849    6.46371E-6    7824       1         -1                    1.0515    0.07474     7809.0       21.165567961519937   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.14098   0.06569    
  J114535+185019   A1367_fr3_050_VB    11:45:35.83   176.3992777781111    0.8      18:50:19.42   18.8387277778   12       4549     8    137   16     173   24     4.8      0.9    0.383     0.106   8.891206729376453    0.1583174281828717     5.3      2.5     0.9   0      2824953030263203840   2824882936396933120   255       54180   176.40156   18.830412   0.01517906    5.034969E-6   4550       1         -1                    1.7102    0.0893      4549.0       8.1298209922787      -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.69922   0.09055    
  J114813+212939   A1367_fr2_094_VB    11:48:13.23   177.0551111111111    0.7      21:29:39.69   21.4943583333   10       7340     4    133   9      166   13     5.7      0.7    0.693     0.093   9.148741190019637    0.09539150510361319    9.5      5.6     0.6   0      2827187232891234304   2827134731211008000   191       53882   177.05434   21.494502   0.02442565    5.494442E-6   7322       1         -1                    1.18721   0.0651      7340.0       22.394489453763775   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.20588   0.06428    
  J114858+210542   A1367_fr2_036_VB    11:48:58.01   177.2416944441111    0.8      21:05:42.61   21.0951694444   11       8390     7    104   14     187   21     6.7      0.8    0.539     0.088   9.03959672059457     0.10825739466596959    9.6      4.1     0.7   0      2825028621687613440   2824882936396933120   530       54180   177.24575   21.086317   0.02801425    6.921839E-6   8398       1         -1                    2.23439   0.06306     8390.0       16.883366871660314   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.28441   0.07391    
  J115135+204407   A1367_fr2_153_VB    11:51:35.39   177.8974444441111    0.7      20:44:07.63   20.7354527778   10       6899     3    169   6      205   8      12.3     0.9    1.615     0.125   9.516180482074953    0.07064483361404565    20.5     12.0    0.6   0      2825049787286448128   2824882936396933120   607       54180   177.89975   20.73261    0.0229765     4.633549E-5   6888       1         -1                    1.20071   0.0367      6899.0       46.298074149514875   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.15931   0.03488    
