# Hid              Name                RA(HHMMSS)    R.A.(deg)            eR(SS)   Dec(DDMMSS)   Dec.(deg)       eD(SS)   Vel_HI   eV   W50   eW50   W20   eW20   PkFlux   ePkF   TotFlux   eTotF   MHI                  eMHI                   SNpeak   SNtot   rms   flag   specObjID             plateID               fiberID   mjd     ra          dec         z             zErr          Vel_SDSS   NOC_Spz   2nd_OC_specObjID      A_W20     A_W20_err   W20_center   aa_snr               V_NED   V_NED_e   RA_NED   RA_NED_e   DEC_NED   DEC_NED_e   potOC                        A_W50     A_W50_err  
  J114424+211723   A1367_fr2_088_VB    11:44:24.08   176.1003194441111    0.7      21:17:23.69   21.2899138889   11       7702     6    156   13     196   19     4.9      0.7    0.564     0.101   9.059287059391172    0.11507210249717263    7.0      3.4     0.7   0      2827221317751695360   2827134731211008000   315       53882   176.10135   21.290076   0.02572983    6.031699E-6   7713       1         -1                    1.13302   0.07921     7702.0       14.424599605651434   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.23952   0.07625    
  J114239+201145   A1367_fr2_041_VR    11:42:39.04   175.6626527781111    2.2      20:11:45.34   20.1959277778   19       5991     7    177   14     263   21     6.1      0.7    0.881     0.103   9.252983863819878    0.0884303123910445     10.1     4.9     0.6   0      2824988214635292672   2824882936396933120   383       54180   175.66609   20.172769   0.02154839    2.057252E-5   6460       1         -1                    1.38556   0.08391     5991.0       24.67874252683039    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.21738   0.07503    
  J114736+210618   A1367_fr1_076_VB    11:47:36.62   176.9025694441111    0.9      21:06:18.29   21.1050805556   21       14059    4    179   8      189   12     3.8      0.7    0.347     0.088   9.51                 0.14698641615758645    5.4      2.1     0.7   0      2827186958013327360   2827134731211008000   190       53882   176.9173    21.114571   0.04683519    5.930577E-6   14040      1         -1                    1.03036   0.13731     14059.0      8.28495056611828     -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.05043   0.13747    
  J114158+212028   A1367_fr2_093_VB    11:41:58.58   175.4940694441111    0.8      21:20:28.83   21.3413416667   10       7671     8    38    16     141   25     6.3      0.8    0.31      0.068   8.799369649242104    0.1327812838181481     9.1      2.0     0.7   0      2822671263657388032   2822631131482974208   146       53876   175.51451   21.340208   0.02554615    1.120902E-5   7658       1         -1                    2.29768   0.11961     7671.0       16.064116966721684   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.6808    0.20034    
  J114544+194200   A1367_fr2_136_VB    11:45:44.31   176.4346111111111    0.8      19:42:00.92   19.7002555556   11       6179     9    161   17     216   26     3.6      0.6    0.465     0.09    8.975460908297785    0.12194033858434634    5.9      3.5     0.6   0      2821667964380538880   2821505236659628032   592       54179   176.43863   19.691868   0.02053112    1.098835E-5   6155       1         -1                    1.49164   0.14038     6179.0       13.657580426473428   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.05561   0.09465    
  J113956+205023   A1367_fr2_073_VB    11:39:56.24   174.9843194441111    0.8      20:50:23.35   20.8398194444   11       6974     7    196   13     232   20     3.9      0.6    0.592     0.098   9.080329662130751    0.10939188695212376    6.5      3.7     0.6   0      2822699301203896320   2822631131482974208   248       53876   174.98553   20.837191   0.02327715    8.473935E-6   6978       1         -1                    1.20706   0.06559     6974.0       15.758955269998518   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.18227   0.06603    
  J113526+200011   A1367_fr2_019_VB    11:35:26.41   173.8600277781111    0.8      20:00:11.58   20.0032166667   14       9569     10   195   20     274   31     3.1      0.5    0.448     0.08    9.28                 0.11508315216831347    6.1      2.8     0.5   0      2817139625758320640   2817001637049034752   502       54180   173.86601   20.000847   0.03188281    1.802785E-5   9558       1         -1                    1.01927   0.09498     9569.0       14.347482580935806   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.0511    0.0857     
  J113659+195856   A1367_fr2_124_VB    11:36:59.17   174.2465277781111    0.7      19:58:56.92   19.9824777778   10       6143     5    206   10     388   14     34.4     1.8    6.843     0.325   10.143254495404141   0.05799485608060456    57.4     21.6    0.6   4      2821599244903802880   2821505236659628032   342       54179   174.29297   19.972035   0.02119213    9.44222E-6    6353       1         -1                    1.41999   0.07136     6143.0       177.68332868128667   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.45545   0.07159    
  J114648+204545   A1367_fr1_012_VB    11:46:48.18   176.7007361111111    1.8      20:45:45.61   20.7626694444   13       14736    5    266   10     292   15     4.4      0.6    0.658     0.099   9.83                 0.10226844550798682    7.4      3.5     0.6   2,4    2824997835362035712   2824882936396933120   418       54180   176.68775   20.757188   0.04917308    8.336002E-6   14741      2         2824998110239942656   1.04673   0.07452     14736.0      15.035532962352496   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.03358   0.07977    
  J115128+185746   A1367_fr2_194_VB    11:51:28.48   177.8686527781111    1.5      18:57:46.33   18.9628694444   12       6161     7    225   14     244   22     3.7      0.9    0.45      0.127   8.961220469183175    0.16014670432085923    4.2      1.6     0.9   0      2831705406047283200   2831638335837988864   244       54180   177.86192   18.965189   0.02062937    1.97253E-5    6184       1         -1                    1.45455   0.22588     6161.0       7.4535599249993      -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.42766   0.22092    
  J113712+193647   A1367_fr3_021_VB    11:37:12.64   174.3026527781111    4.0      19:36:47.75   19.6132638889   20       6101     8    222   17     242   25     2.2      0.6    0.165     0.067   8.525491899621738    0.21404453343815583    3.6      0.9     0.6   0      2817166288915294208   2817001637049034752   599       54180   174.31677   19.619508   0.0204807     1.365292E-5   6139       1         -1                    1.09277   0.18137     6101.0       4.127064048165191    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.20069   0.16912    
  J114215+190410   A1367_fr2_043_VB    11:42:15.19   175.56327777811111   0.7      19:04:10.84   19.0696777778   10       7245     5    177   10     206   16     5.2      0.7    0.7       0.11    9.153105995422088    0.1054750901544533     7.4      4.2     0.7   0      2821553065415436288   2821505236659628032   174       54179   175.56463   19.069955   0.02408359    1.038958E-5   7220       1         -1                    1.25322   0.08982     7245.0       16.80731613632036    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.29461   0.09366    
  J115021+211930   A1367_fr2_182_VB    11:50:21.36   177.5889861111111    0.7      21:19:30.45   21.325125       10       6796     3    113   5      140   8      12.4     0.9    1.195     0.116   9.385375860691987    0.07918809319948494    17.7     7.5     0.7   0      2829458003625797632   2829386535369992192   260       54141   177.58903   21.325884   0.02261948    1.688296E-5   6781       1         -1                    1.35805   0.0376      6796.0       35.91001989174623    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.15914   0.03981    
  J115020+183307   A1367_fr2_109_VB    11:50:20.86   177.5869027781111    0.8      18:33:07.07   18.5519638889   11       6437     3    207   6      220   9      6.9      0.9    1.047     0.136   9.327954637086673    0.09345499566904177    8.6      5.0     0.8   0      2824883211274840064   2824882936396933120   1         54180   177.58941   18.551471   0.02147848    2.376719E-5   6439       1         -1                    1.37906   0.07839     6437.0       20.340261129741847   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.35045   0.07569    
  J113829+195829   A1367_fr2_051_VB    11:38:28.98   174.6207361111111    0.9      19:58:29.88   19.9749666667   11       6990     2    129   4      143   5      11.7     0.8    1.287     0.111   9.417586502312217    0.07435564656182442    19.5     11.5    0.6   0      2821611614409615360   2821505236659628032   387       54179   174.61733   19.98058    0.02328265    1.488097E-5   6979       1         -1                    1.18671   0.02618     6990.0       42.22964626013121    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.20102   0.02571    
  J114739+184440   A1367_fr1_1919_GR   11:47:39.74   176.9155694441111    3.1      18:44:40.37   18.7445472222   16       11381    12   113   23     150   35     3.6      1.0    0.132     0.078   8.9                  0.2940458113523662     3.6      0.9     1.0   1      2824917845891115008   2824882936396933120   127       54180   176.89904   18.767371   0.03813671    5.764745E-6   11433      1         -1                    1.83038   0.20759     11381.0      2.7766408686170307   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         3.44264   0.18954    
  J115308+200937   A1367_fr1_077_VB    11:53:08.49   178.28536111111111   1.4      20:09:37.03   20.1602861111   17       13019    4    201   8      208   12     2.8      0.6    0.314     0.082   9.4                  0.15028032310541323    4.7      2.3     0.6   0      2831775225035646976   2831638335837988864   498       54180   178.28007   20.163653   0.04343286    9.876543E-6   13020      1         -1                    1.04938   0.12642     13019.0      8.25401723055103     -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.08828   0.1213     
  J113804+195152   A1367_fr2_120_VB    11:38:04.77   174.5198611111111    0.7      19:51:52.56   19.8646         10       6205     3    216   6      240   8      9.8      0.9    1.366     0.128   9.443458654753345    0.07776336065384583    13.9     7.0     0.7   0      2817163540136224768   2817001637049034752   589       54180   174.51595   19.861647   0.02068465    1.054761E-5   6201       1         -1                    1.11439   0.04051     6205.0       29.690040220319723   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.09945   0.04046    
  J114812+214555   A1367_fr2_001_VB    11:48:12.92   177.0538194441111    0.9      21:45:55.92   21.7655333333   13       10389    7    220   13     246   20     3.7      0.7    0.433     0.099   9.34                 0.136489543111323      5.3      2.0     0.7   0      2827178161920305152   2827134731211008000   158       53882   177.05734   21.767352   0.0347001     1.852092E-5   10402      1         -1                    1.45975   0.08709     10389.0      9.325315157297975    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.47863   0.08744    
  J114311+195955   A1367_fr2_052_VB    11:43:11.65   175.7985277781111    0.8      19:59:55.62   19.9987833333   12       7080     5    51    10     74    15     4.8      0.7    0.075     0.037   8.183069218799531    0.25139571735497734    6.8      2.5     0.7   0      2821632505130543104   2821505236659628032   463       54179   175.80456   20.004831   0.02342262    4.577002E-6   7021       1         -1                    1.55556   0.19394     7080.0       3.354772987956158    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.06079   0.10851    
  J113906+194149   A1367_fr0_019_VB    11:39:06.35   174.7764444441111    1.1      19:41:49.35   19.6970416667   14       16985    9    165   17     213   26     4.4      0.8    0.424     0.103   9.76                 0.14256523685802083    5.5      2.3     0.8   0      2817174810130409472   2817001637049034752   630       54180   174.77815   19.693085   0.05641915    1.160957E-5   16914      1         -1                    1.38592   0.19439     16985.0      9.226115765651985    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.46091   0.21227    
  J114359+191726   A1367_fr1_032_VB    11:43:59.47   175.9977777781111    0.9      19:17:26.64   19.2907333333   14       12928    5    193   11     209   16     3.6      0.7    0.423     0.099   9.52                 0.1385862298686791     5.2      2.5     0.7   0      2821537947130554368   2821505236659628032   119       54179   176.0041    19.28576    0.04316089    1.287073E-5   12939      1         -1                    1.00842   0.11734     12928.0      9.726322711835433    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.11068   0.10611    
  J114533+190939   A1367_fr1_079_VB    11:45:33.40   176.3891527781111    0.9      19:09:39.95   19.1610972222   12       12766    10   201   19     266   29     5.3      0.9    0.514     0.117   9.59                 0.1361458706734071     5.8      2.0     0.9   0      2821524752991021056   2821505236659628032   71        54179   176.38473   19.168732   0.04261407    8.775713E-6   12775      1         -1                    1.4984    0.22534     12766.0      9.007568697459085    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.10851   0.16221    
  J113420+203032   A1367_fr2_196_VB    11:34:20.61   173.58586111111111   1.1      20:30:32.40   20.509          13       10686    10   206   20     253   31     3.7      0.8    0.476     0.118   9.41                 0.14507656937873015    4.6      1.9     0.8   0      2817125332107159552   2817001637049034752   450       54180   173.57536   20.497134   0.03563309    7.173943E-6   10682      1         -1                    1.29426   0.10873     10686.0      9.269757173640118    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.01143   0.13657    
  J115018+212421   A1367_fr1_038_VB    11:50:18.23   177.57594444411112   1.0      21:24:21.57   21.4059916667   10       12878    4    210   8      227   13     4.9      0.7    0.574     0.102   9.65                 0.11406761463938539    7.0      2.8     0.7   0      2827168541193562112   2827134731211008000   123       53882   177.57992   21.410546   0.04293827    9.841554E-6   12872      1         -1                    1.22103   0.07687     12878.0      12.652874696891539   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.25456   0.07588    
  J113947+195601   A1367_fr1_064_VB    11:39:47.32   174.9471527781111    0.7      19:56:01.89   19.9338583333   10       10935    3    165   6      246   10     30.5     1.6    4.716     0.258   10.42                0.06065719331328445    50.8     23.3    0.6   2      2817175634764130304   2817001637049034752   633       54180   174.94598   19.932835   0.03618915    6.1762E-6     10849      2         2817174535252502528   1.11641   0.04059     10935.0      136.82503758117852   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.09704   0.04016    
  J115356+201046   A1367_fr1_007_VB    11:53:56.11   178.4837777781111    0.8      20:10:46.05   20.1794583333   12       15209    3    229   7      236   10     3.9      0.7    0.531     0.108   9.76                 0.12511845719122505    5.5      2.9     0.7   0      2831779897960065024   2831638335837988864   515       54180   178.48309   20.182119   0.05071769    1.198117E-5   15204      1         -1                    1.10057   0.08558     15209.0      11.208919290867954   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.11902   0.08277    
  J114425+214356   A1367_fr0_025_VB    11:44:25.22   176.1050694441111    2.5      21:43:56.49   21.7323583333   15       15889    6    226   12     238   18     3.1      0.8    0.474     0.128   9.75                 0.15420214250596592    3.9      2.2     0.8   0      2822650922692274176   2822631131482974208   72        53876   176.118     21.730393   0.05291435    8.313673E-6   15863      1         -1                    1.2681    0.10105     15889.0      8.812905987635556    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.31589   0.09695    
  J115014+214838   A1367_fr2_056_VB    11:50:14.28   177.5594861111111    0.8      21:48:38.46   21.8106833333   11       7938     5    159   10     171   14     4.5      0.9    0.394     0.11    8.903504177233405    0.15839030624178738    5.0      2.4     0.9   2      2827162219001702400   2827134731211008000   100       53882   177.56803   21.813633   0.02643733    9.184403E-6   7925       2         2829462676550215680   1.03962   0.14437     7938.0       7.763188873332555    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.00073   0.13574    
  J114907+202840   A1367_fr2_013_VB    11:49:07.25   177.2801944441111    0.7      20:28:40.36   20.4778777778   10       10764    5    156   9      246   14     13.2     1.0    1.749     0.14    9.98                 0.07181910351963154    18.8     7.5     0.7   0      2825044564606216192   2824882936396933120   588       54180   177.28093   20.474035   0.03582164    7.240001E-6   10739      1         -1                    1.32027   0.06012     10764.0      44.731604096248866   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.1458    0.06128    
  J114324+213905   A1367_fr3_079_VB    11:43:24.02   175.8500694441111    0.7      21:39:05.14   21.6514277778   10       3527     1    230   3      244   4      30.4     1.7    5.26      0.278   9.49                 0.05985980042627301    43.4     25.8    0.7   0      2827201251664488448   2827134731211008000   242       53882   175.85252   21.650677   0.01170295    6.622166E-6   3508       1         -1                    1.07243   0.01768     3527.0       110.79209848210843   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.10306   0.01779    
  J114255+195749   A1367_fr2_050_VB    11:42:55.43   175.7309444441111    1.0      19:57:49.35   19.9637083333   11       7264     6    186   13     268   19     7.4      0.8    1.183     0.127   9.380992700035762    0.08398473266678243    10.6     5.3     0.7   4      2821636903177054208   2821505236659628032   479       54179   175.73523   19.966222   0.02428965    7.915087E-6   7281       1         -1                    1.13797   0.06706     7264.0       27.708641561872014   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.25933   0.0551     
  J115238+204610   A1367_fr2_150_VB    11:52:38.50   178.1604027781111    0.7      20:46:10.04   20.7694555556   10       6431     3    222   5      236   8      6.5      0.7    1.075     0.111   9.339416419659456    0.0818939932931113     10.8     5.8     0.6   0      2831728220913559552   2831638335837988864   327       54180   178.16577   20.768362   0.02143426    1.649878E-5   6425       1         -1                    1.05847   0.04102     6431.0       26.88844758653079    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.01868   0.04199    
  J115241+203922   A1367_fr0_002_VB    11:52:41.09   178.1711944441111    0.8      20:39:22.51   20.6562527778   11       18936    7    134   15     187   22     6.3      1.0    0.539     0.112   9.96                 0.1271787448198041     7.0      2.7     0.9   0      2831742789442627584   2831638335837988864   380       54180   178.18709   20.646692   0.0630867     6.322829E-6   18912      1         -1                    1.33263   0.17085     18936.0      11.568548155702553   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.13591   0.13216    
  J114215+200259   A1367_fr2_042_VR    11:42:15.14   175.5630694441111    0.9      20:02:59.62   20.0498944444   11       6084     5    122   11     206   16     8.3      0.7    0.985     0.1     9.301444185905442    0.08145031652618918    13.9     6.8     0.6   2      2824980792931805184   2824882936396933120   356       54180   175.56511   20.04868    0.02038023    7.312175E-6   6109       1         -1                    1.32618   0.0478      6084.0       33.234570217759675   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.09901   0.05619    
  J114314+212618   A1367_fr1_058_VB    11:43:14.67   175.8111111111111    0.9      21:26:18.09   21.4383583333   12       11713    7    239   14     263   21     4.0      0.8    0.484     0.115   9.49                 0.1403146309104641     5.0      2.1     0.8   0      2827218294094718976   2827134731211008000   304       53882   175.81338   21.443684   0.03912218    1.305769E-5   11728      1         -1                    1.01144   0.12524     11713.0      8.750672418873123    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.12447   0.11495    
  J115123+203730   A1367_fr1_035_VB    11:51:23.52   177.8479861111111    0.7      20:37:30.22   20.6250611111   10       12886    3    123   6      168   9      13.0     0.9    1.398     0.116   10.04                0.07288958103584597    21.6     9.8     0.6   0      2831730419936815104   2831638335837988864   335       54180   177.83951   20.600907   0.04279994    8.159842E-6   12831      1         -1                    1.40562   0.04931     12886.0      46.97733409527606    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.36214   0.04824    
  J115126+175522   A1367_fr1_039_VB    11:51:26.22   177.8592361111111    0.7      17:55:22.30   17.9228611111   14       11495    4    343   8      361   12     7.8      1.1    1.834     0.208   10.05                0.08619947475094583    7.8      4.3     1.0   2,4    2828376629510694912   2828260631033964544   422       53877   177.85942   17.91795    0.03783534    6.615615E-6   11342      2         2828352165376976896   1.07774   0.05934     11495.0      22.143041473887134   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.13193   0.06186    
  J114424+175042   A1367_fr1_022_VB    11:44:24.08   176.1003194441111    1.1      17:50:42.21   17.8450583333   15       14475    12   244   24     324   36     7.2      1.4    0.81      0.194   9.9                  0.14134132084260184    5.2      1.8     1.4   0      2823904091053254656   2823757031373039616   535       53875   176.10786   17.847482   0.04822467    9.33545E-6    14457      1         -1                    1.53178   0.25279     14475.0      8.28222590703988     -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.6581    0.27505    
  J114504+203646   A1367_fr3_088_VB    11:45:04.86   176.2702361111111    0.8      20:36:46.77   20.6129916667   13       6032     9    241   19     276   28     2.6      0.6    0.365     0.092   8.870300819864305    0.14736292999814227    4.3      2.0     0.6   0      2821672637304956928   2821505236659628032   609       54179   176.26874   20.607602   0.01995866    1.813524E-5   5983       1         -1                    1.24802   0.16628     6032.0       8.76229952913426     -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.45046   0.2027     
  J115351+211443   A1367_fr2_179_VB    11:53:51.95   178.4664444441111    0.8      21:14:43.13   21.2453138889   11       6857     3    238   7      269   10     10.4     1.0    1.713     0.155   9.541765318373342    0.07632610029752054    13.0     6.9     0.8   2,4    2829445359242078208   2829386535369992192   214       54141   178.47562   21.250091   0.02304013    7.096357E-6   6907       2         2829444809486264320   1.30098   0.0396      6857.0       31.035868252270127   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.47285   0.0376     
  J115414+200136   A1367_fr2_139_VB    11:54:14.13   178.5588611111111    0.7      20:01:36.22   20.0267277778   11       6208     3    221   7      248   10     11.8     1.2    1.702     0.176   9.5389675111564      0.08197448102335894    11.8     5.3     1.0   0      2831780447715878912   2831638335837988864   517       54180   178.55807   20.027542   0.0206587     1.014903E-5   6193       1         -1                    1.28899   0.0508      6208.0       25.600498439717754   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.39498   0.04947    
  J114611+211335   A1367_fr2_177_VB    11:46:11.90   176.5495694441111    0.7      21:13:35.10   21.2264166667   10       6655     3    251   5      269   8      8.7      0.8    1.476     0.136   9.477094312894854    0.07705650097793663    12.4     6.5     0.7   0      2822635529529485312   2822631131482974208   16        53876   176.55055   21.227463   0.02214729    1.405799E-5   6639       1         -1                    1.12075   0.0373      6655.0       29.760242032855427   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.11335   0.03723    
  J114513+213833   A1367_fr2_190_VB    11:45:13.44   176.3059861111111    0.7      21:38:33.34   21.6425944444   11       6720     7    74    14     138   21     6.7      0.9    0.451     0.09    8.962184497285792    0.12418776180735559    8.4      3.7     0.8   0      2822652846837622784   2822631131482974208   79        53876   176.3123    21.644417   0.02229734    6.630281E-6   6684       1         -1                    1.10979   0.11325     6720.0       14.65398346590165    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.45141   0.14332    
  J114401+202254   A1367_fr1_052_VB    11:44:01.13   176.0046944441111    0.7      20:22:54.49   20.3818027778   10       11825    7    192   14     243   20     5.2      0.7    0.665     0.107   9.64                 0.10702146192387439    7.5      3.4     0.7   0      2821659718043330560   2821505236659628032   562       54179   176.00789   20.380839   0.03948437    7.762501E-6   11837      1         -1                    1.45341   0.12297     11825.0      15.330559078737693   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.53018   0.13239    
  J114442+213245   A1367_fr1_2613_GR   11:44:42.00   176.1749861111111    1.1      21:32:45.31   21.5459194444   18       14647    16   114   32     206   49     2.8      0.7    0.176     0.071   9.25                 0.2127037823073548     4.0      1.1     0.7   1      2827204000443557888   2827134731211008000   252       53882   176.16538   21.536871   0.04899621    1.393384E-5   14688      1         -1                    1.33101   0.39363     14647.0      5.2655919899527435   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.33789   0.20127    
  J115055+210844   A1367_fr2_173_VB    11:50:55.15   177.7297777781111    0.7      21:08:44.72   21.1457555556   10       6409     6    140   11     236   17     10.1     0.9    1.342     0.126   9.435760471240805    0.07823680071784614    14.4     8.2     0.7   0      2829453330701379584   2829386535369992192   243       54141   177.731     21.145483   0.02135194    7.097559E-6   6401       1         -1                    1.3184    0.06271     6409.0       36.23059448417021    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.02595   0.05198    
  J115114+210010   A1367_fr3_076_VB    11:51:14.29   177.8095277781111    0.7      21:00:10.78   21.0029944444   10       3383     2    234   3      253   5      21.1     1.3    3.671     0.211   9.29                 0.062134456870180814   30.2     16.2    0.7   0      2827152873152866304   2827134731211008000   66        53882   177.81101   21.001836   0.01125805    1.54262E-5    3375       1         -1                    1.06715   0.02276     3383.0       76.65904735419296    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.02185   0.02301    
  J113426+212044   A1367_fr2_183_VB    11:34:26.35   173.6097777781111    0.7      21:20:44.31   21.3456416667   10       6367     3    105   6      156   10     19.8     1.3    1.854     0.164   9.576117685216309    0.0754755471727309     22.0     10.8    0.9   0      2819306488281982976   2819253436845942784   193       54179   173.61233   21.352185   0.02118826    7.873275E-6   6352       1         -1                    1.42125   0.05981     6367.0       44.95288538861443    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.22492   0.05479    
  J114740+204728   A1367_fr1_003_VR    11:47:40.02   176.9167361111111    0.8      20:47:28.49   20.7912472222   11       14562    14   161   28     263   42     3.5      0.7    0.288     0.083   9.46                 0.1625869459823078     5.0      1.3     0.7   0      2825008555600406528   2824882936396933120   457       54180   176.91579   20.784276   0.04853251    7.190287E-6   14549      1         -1                    1.17877   0.22506     14562.0      7.250475876173912    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.19378   0.22272    
  J114852+211724   A1367_fr2_087_VB    11:48:52.60   177.2191527781111    0.7      21:17:24.30   21.2900833333   11       7333     5    179   10     205   14     5.4      0.8    0.776     0.114   9.19786967666602     0.10102563338065851    7.7      4.3     0.7   0      2827163043635423232   2827134731211008000   103       53882   177.22416   21.294024   0.02436582    1.028507E-5   7304       1         -1                    1.00469   0.06383     7333.0       18.527728067169413   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.14735   0.07208    
  J114935+193228   A1367_fr1_049_VB    11:49:35.22   177.3967361111111    0.8      19:32:28.98   19.5413833333   13       11656    8    150   16     169   24     2.6      0.7    0.184     0.076   9.07                 0.21653267058409661    3.7      1.6     0.7   0      2824901628094605312   2824882936396933120   68        54180   177.40168   19.5352     0.0388617     9.822335E-6   11650      1         -1                    1.33651   0.1673      11656.0      4.79909288480717     -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.32455   0.16988    
  J115018+202830   A1367_fr2_064_VB    11:50:18.44   177.5768194441111    0.8      20:28:30.31   20.4750861111   11       6676     5    155   9      175   14     4.7      0.7    0.364     0.083   8.869109339056887    0.1362876846737428     6.7      2.6     0.7   0      2831732893837977600   2831638335837988864   344       54180   177.5795    20.480315   0.02228823    3.434439E-5   6681       1         -1                    1.08336   0.10995     6676.0       9.339475705392294    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.05819   0.11287    
  J113747+204107   A1367_fr1_029_VB    11:37:47.76   174.4489861111111    0.8      20:41:07.38   20.6853833333   12       13655    4    105   7      132   11     7.5      0.8    0.648     0.093   9.75                 0.09921735921175506    10.7     6.0     0.7   0      2821606391729383424   2821505236659628032   368       54179   174.45271   20.689855   0.04552956    1.466515E-5   13649      1         -1                    1.02723   0.06429     13655.0      20.20074183898901    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.14661   0.07257    
  J113645+211132   A1367_fr1_017_VB    11:36:45.23   174.1884444441111    2.8      21:11:32.05   21.1922361111   12       14217    5    143   10     214   15     7.9      0.7    1.047     0.105   10.0                 0.08050567997960663    13.1     6.9     0.6   0      2819282024148264960   2819253436845942784   104       54179   174.18375   21.192529   0.04732059    9.491419E-6   14186      1         -1                    1.28745   0.045       14217.0      32.62964995129516    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.1702    0.04706    
  J115052+193100   A1367_fr1_044_VB    11:50:52.27   177.7177777781111    1.1      19:31:00.47   19.5167972222   13       11850    9    225   19     321   28     4.5      0.6    0.782     0.106   9.71                 0.09616394134563605    7.6      3.6     0.6   0      2824903277362046976   2824882936396933120   74        54180   177.71865   19.519675   0.03959712    6.52657E-6    11870      1         -1                    1.06899   0.08185     11850.0      19.428946204498175   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.1205    0.08501    
  J114520+212021   A1367_fr2_090_VB    11:45:20.11   176.3337777781111    0.8      21:20:21.79   21.3393861111   12       7790     10   148   20     238   30     4.7      0.7    0.582     0.104   9.072930940057718    0.11534356998006638    6.7      3.2     0.7   0      2827211422147045376   2827134731211008000   279       53882   176.33289   21.339508   0.02580691    5.626275E-6   7736       1         -1                    1.43228   0.07554     7790.0       15.28196107352129    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.02664   0.09216    
  J114747+190453   A1367_fr3_011_VB    11:47:47.82   176.9492361111111    0.7      19:04:53.79   19.0816083333   10       6036     4    258   9      278   13     6.0      0.9    0.817     0.126   9.220230011940247    0.104183952251004      7.5      3.4     0.8   0      2824919770036463616   2824882936396933120   134       54180   176.94573   19.081948   0.02010403    1.713122E-5   6027       1         -1                    1.19719   0.09675     6036.0       14.216975621887142   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.14197   0.09243    
